person_id,station_id
1,1
1,2
1,3
1,4
1,5
2,4
3,3
4,1
5,2
6,3
7,5
8,1
9,3
10,2
11,5
12,5
13,2
14,2
15,1
16,1
17,5
18,3
19,2
20,2
21,1
22,1
23,5
24,3
25,5
26,5
27,4
28,1
29,3
30,3
31,1
32,1
33,2
34,5
35,1
36,2
37,4
37,5
38,1
39,4
40,4
41,3
42,4
43,2
44,4
45,4
46,4
47,2
48,4
49,1
50,5
51,2
52,3
53,3
54,1
55,1
56,1
57,3
58,1
59,3
60,3
61,1
62,2
63,3
64,4
65,4
66,4
67,5
68,1
69,3
70,4
71,2
72,2
73,3
74,1
74,2
74,3
75,4
76,2
77,2
78,3
79,1
80,3
81,3
82,5
83,5
84,2
85,4
86,2
87,1
88,4
89,5
90,5
91,5
92,3
93,5
94,4
95,5
96,5
97,2
98,4
99,3
100,4
101,2
102,2
103,5
104,2
105,4
106,4
107,5
108,5
109,1
110,1
111,5
112,5
113,4
114,1
115,3
116,1
117,3
118,4
119,2
120,3
121,1
122,1
123,5
124,4
125,2
126,1
127,1
127,2
128,4
129,1
130,1
131,5
132,1
133,3
134,5
135,4
136,4
137,2
138,2
139,3
140,4
141,1
142,4
143,5
144,5
145,1
146,1
147,3
148,1
149,4
150,5
